"id","first_option","first_link","second_option","second_link","probability"
"mycenas41","In bundels op liggend hout, maar ook op rieten daken. Steel met blauwgrijze of violetgrijze tint","Mycena arcangeliana","Solitair, op de bodem in (duin)graslanden. Steel grijs","Mycena chlorantha","1"
"mycenas42","Hoed (vooral bij opdrogen) met een dun maar opvallend berijpt of glacé laagje. Hoedrand buiten lamellen stekend","Mycena filopes","Hoed zonder berijpt of glacé laagje. Hoedrand niet buiten lamellen stekend. Hoedcentrum met roze zweem","Mycena metata","1"
"mycenas43","Lamellen van volwassen exemplaren met roze tint, aan de basis tegen het hoedvlees geaderd","Mycena galericulata","Lamellen zonder roze tint, aan de basis niet geaderd","mycenas44","1"
"mycenas44","Geur naar radijs. Niet op venige bodem","mycenas45","Geur afwezig. Hoed donkerbruin tot bijna zwart. Op venige bodem","Mycena megaspora","1"
"mycenas45","Lamelsnede opvallend gewimperd, ook lamelvlak gewimperd (L!)","Mycena galopus (niet-melkende vorm)","Lamelsnede en -vlak niet opvallend gewimperd","mycenas46","1"
"mycenas46","In bossen, op blad. Lamellen wittig","Mycena flavescens","In graslanden. Lamellen grijs","Mycena aetites","1"
"trechterzwammen1","Hoed en steel blauwgroen","Omphalina chlorocyanea","Hoed en steel niet blauwgroen","trechterzwammen2","1"
"trechterzwammen2","Hoed roodbruin","Omphalina pyxidata","Hoed donkerbruin tot zwart","trechterzwammen3","1"
"trechterzwammen3","Steel kaal. Zonder geur","Omphalina obscurata","Steel fijn afstaand behaard. Geur naar pelargonium","Omphalina velutipes","1"
"veldridderzwammen1","Hoed okerbruin tot oranje","Melanoleuca cognata","Hoed bruin tot donker grijsbruin of bijna zwart","Melanoleuca polioleuca-groep","1"
"schijnridderzwammen1","Paddenstoel bruin-oranje, zonder paarse tint","Lepista flaccida","Paddenstoel met paarse tint op hoed, steel en/of lamellen","schijnridderzwammen2","1"
"schijnridderzwammen2","Alleen steel met paarse tinten","Lepista saeva","Hoed en lamellen ook met paarse tint","schijnridderzwammen3","1"
"schijnridderzwammen3","Hoed dikvlezig, niet doorschijnend gestreept, met duidelijk paarse tint","Lepista nuda","Hoed dunvlezig, doorschijnend gestreept, meer rozebruin","Lepista sordida","1"
"ridderzwammen1","Hoed wit of zeer licht gekleurd","ridderzwammen2","Hoed duidelijk gekleurd","ridderzwammen3","1"
"ridderzwammen2","Geur sterk onaangenaam. Hoed glad tot fijn viltig","Tricholoma album-groep","Geur onopvallend of melig. Hoed vezelig tot fijn schubbig","Tricholoma argyraceum ss. lato","1"
"ridderzwammen3","Steel met wollige ring. Bij wilg","Tricholoma cingulatum","Steel zonder ring, hoogstens met een vage ringzone","ridderzwammen4","1"
"ridderzwammen4","Hoed geel","ridderzwammen5","Hoed bruin of grijs of met groene tint","ridderzwammen6","1"
"ridderzwammen5","Lamellen ver uiteen. Hoed droog. Geur sterk, naar teergas","Tricholoma sulphureum","Lamellen normaal gedrongen. Hoed kleverig. Geur onopvallend","Tricholoma equestre","1"
"ridderzwammen6","Vlees bij beschadiging langzaam rood wordend. Geur naar (geparfumeerde) zeep","Tricholoma saponaceum","Vlees bij beschadiging niet verkleurend, of geel wordend","ridderzwammen7","1"
"ridderzwammen7","Hoed vezelig tot fijn schubbig","Tricholoma argyraceum ss. lato","Hoed glad of droog, iets kleverig tot slijmerig","ridderzwammen8","1"
"ridderzwammen8","Vlees in steel geel. Lamellen bleek geel. Bij berk","Tricholoma fulvum","Vlees wit. Lamellen wittig","ridderzwammen9","1"
"ridderzwammen9","Steeltop met een opvallend witte zone. Vlees iets bitter. Onder den","Tricholoma albobrunneum","Steeltop zonder opvallende witte zone. Bij loofbomen","ridderzwammen10","1"
"ridderzwammen10","In dichte kluiten bij populier","Tricholoma populinum","Bij beuk","Tricholoma ustale","1"
"taailingen1","Hoed en steel met aanliggende bruine haren","Crinipellis scabella","Hoed en steel zonder aanliggende bruine haren","taailingen2","1"
"taailingen2","Geur naar rottende koolbladeren. Steel fijn behaard (L!). Op sparrennaalden","Gymnopus perforans","Geur anders","taailingen3","1"
"taailingen3","Lamellen tegen een soort kraagje (collarium) rond de steel aangehecht","taailingen4","Collarium afwezig","taailingen7","1"
"taailingen4","Hoed oranje tot roodbruin","Marasmius curreyi","Hoed wittig tot bleek geelbruin","taailingen5","1"
"taailingen5","Hoed wit. Op takjes","Marasmius rotula","Hoed gekleurd, tenminste in het centrum. Op bladeren","taailingen6","1"
"taailingen6","Op bladeren van grassen en zeggen","Marasmius limosus","Op dode bladeren van loofbomen","Marasmius bulliardii","1"
"taailingen7","Steel draaddun, in het substraat geënt","taailingen8","Steel niet draaddun, niet in het substraat geënt","taailingen12","1"
"taailingen8","Hoed wit","taailingen9","Hoed gekleurd","taailingen11","1"
"taailingen9","Lamellen normaal ontwikkeld. Steel met verspreide, dunne, heel lange haren (L!)","Marasmius setosus","Lamellen gereduceerd, meer aderig. Steel kaal of fijn bepoederd","taailingen10","1"
"taailingen10","Op eikenblad","Marasmius epiphyllus","Op blad van klimop","Marasmius epiphylloides","1"
"taailingen11","Steel kaal","Gymnopus androsaceus","Steel behaard","Gymnopus quercophilus","1"
"taailingen12","Hoed kleiner dan 2 cm, wittig","taailingen13","Hoed groter dan 2 cm, gewoonlijk donkerder","taailingen17","1"
"taailingen13","Steel glad. Op oude vruchtlichamen van russula's en melkzwammen (maar deze vaak nauwelijks meer als zodanig herkenbaar: zwarte troep)","taailingen14","Steel vlokkig. Op strooisel en takjes","taailingen16","1"
"taailingen14","Steel aan de basis zonder knolletje","Collybia cirrata","Steel aan basis met een klein knolletje (sclerotium)","taailingen15","1"
"taailingen15","Sclerotium okergeel","Collybia cookei","Sclerotium purperbruin","Collybia tuberosa","1"
"taailingen16","Hoeddiameter groter dan lengte van steel. Hoed gewelfd blijvend, niet rimpelig","Marasmiellus ramealis","Hoeddiameter kleiner dan lengte van steel. Hoed uiteindelijk vlak uitspreidend en rimpelig","Marasmiellus vaillantii","1"
"taailingen17","Steel kaal, glanzend. Lamellen met fijne bruine haartjes (L!)","Marasmius cohaerens","Steel behaard. Lamellen zonder bruine haren","taailingen18","1"
"taailingen18","grote groepen rondom de stam van eiken. Steel wortelend, naar de basis spoelvormig versmald","Gymnopus fusipes","Steel niet wortelend, naar de basis niet spoelvormig versmald","taailingen19","1"
"taailingen19","Lamellen zeer dicht opeen, snede fijn gezaagd-gekarteld. Hoed wittig, met roestbruine vlekken. Grote paddenstoel","Rhodocollybia maculata","Lamellen minder dicht opeen, met gave snede","taailingen20","1"
"taailingen20","Steel naar de basis opvallend dikker wordend. Hoedoppervlak duidelijk vettig aanvoelend","Rhodocollybia butyracea","Steelbasis hoogstens iets opgezwollen. Hoedoppervlak niet opvallend vettig","taailingen21","1"
"taailingen21","Lamellen wijd uiteen","taailingen22","Lamellen niet opvallend wijd uiteen","taailingen23","1"
"taailingen22","Lamellen geelbruin. Smaak scherp. In bossen","Gymnopus peronatus","Lamellen beige. Smaak mild. In graslanden","marasmius oreades","1"
"taailingen23","Lamellen zeer dicht opeen. Steel donzig. Paddenstoel in dichte bundels groeiend","Gymnopus confluens","Lamellen niet zeer dicht opeen. Steel vrijwel kaal. Paddenstoel niet in dichte bundels","taailingen24","1"
"taailingen24","Steel roodbruin","Gymnopus erythropus","Steel bleek geelbruin","taailingen25","1"
"taailingen25","Hoed oranjebruin. Lamellen wittig","Gymnopus dryophilus ss. lato","Hoed donker roodbruin. Lamellen geel","Gymnopus ocior","1"
"satijnzwammen1","Hoed wit tot hoogstens licht geel","satijnzwammen2","Hoed duidelijk gekleurd","satijnzwammen4","1"
"satijnzwammen2","Lamellen gemakkelijk van hoedvlees te scheiden. Geur sterk, melig of naar snijbonen. Hoed wit","satijnzwammen3","Lamellen niet van vlees te scheiden. Geur onopvallend. Hoed wit met gelige tint","Entoloma sericellum","1"
"satijnzwammen3","Hoed gewelfd, dikvlezig","Clitopilus prunulus","Hoed met verdiept centrum, dunvlezig","Clitopilus scyphoides","1"
"satijnzwammen4","Lamellen gemakkelijk van hoedvlees te scheiden","Clitopilus geminus","Lamellen niet gemakkelijk van vlees te scheiden","satijnzwammen5","1"
"satijnzwammen5","In voorjaar, bij roosachtigen groeiend (meidoorn, sleedoorn, kers, appel)","Entoloma clypeatum","Niet in voorjaar bij roosachtigen","satijnzwammen6","1"
"satijnzwammen6","Hoed glad en kaal","satijnzwammen7","Hod vezelig tot pluizig of schubbig","satijnzwammen14","1"
"satijnzwammen7","Hoed met gele of geelbruine tint. Geur zoetig, naar overrijp fruit","Entoloma pleopodium","Hoed met overwegend bruine tinten. Zonder zoete geur","satijnzwammen7","1"
"satijnzwammen8","Forse paddenstoel (hoed 4-12 cm; steel 4-15 mm dik), meestal met geur als bleekwater (chloorachtig)","Entoloma rhodopolium ss. lato","Paddenstoel minder fors (hoed tot 7 cm) en met andere geur","satijnzwammen8","1"
"satijnzwammen9","Steel wit. Geur afwezig. In naaldbos","Entoloma turbidum","Steel gekleurd, honinggeel, (licht) grijs tot bruin","satijnzwammen10","1"
"satijnzwammen10","Steel honinggeel","Entoloma cetratum","Steel bruin","satijnzwammen11","1"
"satijnzwammen11","Hoed met opvallend papilletje","Entoloma hebes","Hoed zonder papil","satijnzwammen12","1"
"satijnzwammen12","Steel (veel) langer dan de hoeddiameter, zilvergrijs overlangs gestreept","Entoloma conferendum","Steel korter dan of even lang als hoeddiameter, niet gestreept","satijnzwammen13","1"
"satijnzwammen13","Hoedrand niet doorschijnend gestreept. In bossen of wegbermen","Entoloma sordidulum","Hoedrand doorschijnend gestreept. In grasland","Entoloma sericeum","1"
"satijnzwammen14","Hoed, steel of lamellen met violette of blauwe tint","satijnzwammen15","Violette en blauwe tinten afwezig","satijnzwammen17","1"
"satijnzwammen15","Lamellen aflopend. In bossen","Entoloma incarnatofuscescens","Lamellen niet aflopend. In graslanden","satijnzwammen16","1"
"satijnzwammen16","Lamelsnede donker gekleurd","Entoloma serrulatum","Lamelsnede niet donker gekleurd","Entoloma chalybaeum-groep","1"
"satijnzwammen17","Hoed en steel groen","Entoloma incanum","Hoed en steel zonder groene tint","satijnzwammen18","1"
"satijnzwammen18","Lamellen aflopend","satijnzwammen19","Lamellen niet aflopend. Hoed met zilverige, schilferige bedekking","Entoloma fernandae ss. lato","1"
"satijnzwammen19","Lamellen wijd uiteen. Steel langer dan hoeddiameter. Hoed tot 1 cm","Entoloma rhodocylix","Lamellen gedrongen. Steel relatief kort. Hoed 1-4 cm, met concentrische zones","Entoloma undatum","1"
"hertenzwammen1","Hoed ingegroeid radiair vezelig of vezelspletig","hertenzwammen2","Hoed schubbig tot viltig","hertenzwammen4","1"
"hertenzwammen2","Hoed vezelspletig, donker grijs","Pluteus ephebeus","Hoed ingegroeid radiair vezelig","hertenzwammen3","1"
"hertenzwammen3","Hoed grijsgroen. Geur afwezig","Pluteus salicinus","Hoed (donker) bruin. Geur naar rauwe aardappelen","Pluteus cervinus","1"
"hertenzwammen4","Steel geel tot geelbruin","hertenzwammen5","Steel zonder gele tinten","hertenzwammen6","1"
"hertenzwammen5","Steel en hoed geel tot geelbruin. Hoed schubbig","Pluteus leoninus","Steel geel. Hoed bruin, aderig-rimpelig","Pluteus romellii","1"
"hertenzwammen6","Steel kaal","Pluteus phlebophorus-groep","Steel fijn vlokkig-behaard","hertenzwammen7","1"
"hertenzwammen7","Hoed sterk geaderd-gerimpeld. Steel met wittige vlokjes","Pluteus thomsonii","Hoed niet geaderd-gerimpeld. Steel met bruine vlokjes","Pluteus podospileus","1"
"beurszwammen1","Op oude vruchtlichamen van de Nevelzwam (Clitocybe nebularis) groeiend","Volvariella surrecta","Op de grond of op hout groeiend","beurszwammen2","1"
"beurszwammen2","Hoed 1-5 cm, zijdeachtig, wit","Volvariella murinella-groep","Hoed 5-15 cm, glad, slijmerig-kleverig, grijs","Volvariella gloiocephala","1"
"krulzomen1","Op de grond groeiend. Steel centraal","krulzomen2","Op naaldhout groeiend. Steel excentrisch of zijdelings","krulzomen3","1"
"krulzomen2","Hoed glad. Bij loof- en naaldbomen","Paxillus involutus","Hoed met donkerder schubjes. Uitsluitend bij els","Paxillus filamentosus","1"
"krulzomen3","Steel zwart-fluwelig","Tapinella atrotomentosa","Steel (vrijwel) afwezig","Tapinella panuoides","1"
"donsvoetjes1","Lamellen geel. Onder meidoorn","Tubaria dispersa","Lamellen bruin. Op andere standplaatsen","donsvoetjes2","1"
"donsvoetjes2","Hoed slijmerig. Op populierenblad. Lamellen duidelijk aflopend","Meottomyces dissimulans","Hoed droog. Op takjes en houtsnippers. Lamellen recht aangehecht tot iets aflopend","donsvoetjes3","1"
"donsvoetjes3","Hoed over het gehele oppervlak met velum bedekt, aan de rand wit gezoomd, niet doorschijnend gestreept","Tubaria conspersa","Hoed alleen aan de rand met velum of vrijwel geheel zonder velum, doorschijnend gestreept","Tubaria furfuracea","1"
"leemhoeden1","Ring aanwezig","leemhoeden2","Ring afwezig. Hoed glad, iets vettig, zeemleergeel","Agrocybe pediades","1"
"leemhoeden2","Hoed donker (rood)bruin. Ring aan de bovenzijde gestreept","Agrocybe erebia","Hoed bleker, wit tot geelbruin. Ring aan de bovenzijde niet gestreept","leemhoeden3","1"
"leemhoeden3","In dichte bundels op populierenstronken","Agrocybe cylindracea","In andere habitats groeiend","leemhoeden4","1"
"leemhoeden4","In groepen op snipperhopen. Hoedoppervlak sterk gerimpeld","Agrocybe rivulosa","In andere habitats. Hoedoppervlak niet sterk gerimpeld","leemhoeden5","1"
"leemhoeden5","Hoed vrijwel wit. Geur onopvallend","Agrocybe dura","Hoed bleek geel tot geelbruin. Geur melig","leemhoeden6","1"
"leemhoeden6","Ring hangend. Forse paddenstoel in graslanden en ruderale terreinen","Agrocybe praecox","Ring opstijgend. Tengere paddenstoel op vochtige standplaatsen","Agrocybe elatella","1"
"bundelzwammen1","Hoed hygrofaan","bundelzwammen2","Hoed niet hygrofaan","bundelzwammen3","1"
"bundelzwammen2","Steel met ring, daaronder schubbig. Op dood hout groeiend","Kuehneromyces mutabilis","Steel zonder ring, vrijwel kaal. In late herfst en winter op dood populierenblad groeiend","Meottomyces dissimulans","1"
"bundelzwammen3","Op zaagvlak van populier. Hoed met wittige wollige schubben","Hemipholiota populnea","Op andere standplaatsen","bundelzwammen4","1"
"bundelzwammen4","Hoed met opstaande of aanliggende schubben, droog tot slijmerig","bundelzwammen5","Hoed min of meer glad, soms met verspreide velumvlokjes, vooral aan de hoedrand, deze in slijmlaag ingebed","bundelzwammen8","1"
"bundelzwammen5","Hoed slijmerig","Pholiota adiposa ss. lato","Hoed droog","bundelzwammen6","1"
"bundelzwammen6","Hoed met opvallende afstaande schubjes","bundelzwammen7","Hoed met aanliggende schubjes","Pholiota tuberculosa","1"
"bundelzwammen7","Hoed met intens gele schubben op oranje achtergrond. In naaldbos","Pholiota flammans","Hoed met bruinige schubben op gelige ondergrond. In loofbos, soms in naaldbos","Pholiota squarrosa","1"
"bundelzwammen8","Hoed helder oranje. Steel aan de basis zwart wordend. Smaak bitter. In naaldbos","Pholiota astragalina","Hoed niet oranje. Steel aan de basis niet zwart wordend","bundelzwammen9","1"
"bundelzwammen9","Hoed aan de rand met witte velumvlokken","bundelzwammen10","Hoed met nauwelijks zichtbare velumresten","bundelzwammen11","1"
"bundelzwammen10","Hoed geel met groenige zweem. Op open plekken","Pholiota gummosa","Hoed beige tot lichtbruin. In loofbos","Pholiota lenta","1"
"bundelzwammen11","Op brandplekken","Pholiota highlandensis","Niet op brandplekken","bundelzwammen12","1"
"bundelzwammen12","Op hout. Hoed geel","Flammula alnicola","Op de grond tussen gras, soms op in de grond begraven hout. Hoed oker","Pholiota conissans","1"
"mosklokjes1","Steel met ring","mosklokjes2","Steel zonder ring","mosklokjes3","1"
"mosklokjes2","Op hout","Galerina marginata ss. lato","Tussen veenmos","Galerina paludosa","1"
"mosklokjes3","Steel fijn afstaand-behaard (L!)","mosklokjes4","Steel kaal, glad tot iets vezelig (L!)","mosklokjes5","1"
"mosklokjes4","Hoed oranjebruin","Galerina vittiformis ss. lato","Hoed bleek okergeel","Galerina graminea","1"
"mosklokjes5","Hoed en lamellen geel tot bruinig geel. Tussen mos in grasland","Galerina clavata","Hoed en lamellen oranjebruin. Tussen mos in bos en heide","Galerina spp.","1"
"zompzwammen1","Steel zilverwit-vezelig, aan de basis na beschadiging bruin wordend","Alnicola bohemica ss. lato","Steel gekleurd, geel tot bruin. Bij els","zompzwammen2","1"
"zompzwammen2","Hoed doorschijnend gestreept","Alnicola scolecina","Hoed mat, niet doorschijnend gestreept","zompzwammen3","1"
"zompzwammen3","Hoed en steel bruin","Alnicola subconspersa","Hoed en steel geelachtig tot geelbruin","Alnicola escharoides","1"
"breeksteeltjes1","Steel met aan bovenzijde gegroefde ring","Pholiotina arrhenii-groep","Steel zonder ring","breeksteeltjes2","1"
"breeksteeltjes2","Hoedrand met witte velumvlokjes","Pholiotina exannulata-groep","Hoedrand zonder witte velumvlokjes","breeksteeltjes3","1"
"breeksteeltjes3","Hoed hoger dan breed, wittig","Conocybe albipes","Hoed breder dan hoog, gekleurd","breeksteeltjes4","1"
"breeksteeltjes4","Steel bepoederd of heel fijn donzig-behaard (maar in dat laatste geval niet op mest)","Conocybe spp.","Steel donzig-harig. Op mest","Conocybe pubescens","1"
"gordijnzwammen1","Hoed (zeer) slijmerig, niet hygrofaan","gordijnzwammen2","Hoed droog, al-dan-niet hygrofaan","gordijnzwammen6","1"
"gordijnzwammen2","Steel op onderste helft met opvallende velumgordels, alsof het steeloppervlak is opengescheurd. Bij eik, populier en kruipwilg","Cortinarius trivialis","Steel zonder opvallende velumgordels","gordijnzwammen3","1"
"gordijnzwammen3","Hoed geel. Steel met kleverige gele velumgordels","Cortinarius delibutus","Hoed bruin, al dan niet met paars gemengd. Steel zonder kleverige tot slijmerige gele velumgordels","gordijnzwammen4","1"
"gordijnzwammen4","Lamellen paars","gordijnzwammen5","Lamellen chocoladekleurig. Smaak bitter","Cortinarius infractus","1"
"gordijnzwammen5","Lamellen jong paars, dan bruin, niet donker paars vlekkend. Geur weeïg-zoetig of muffig","Cortinarius largus","Lamellen paars vlekkend. Geur afwezig","Cortinarius purpurascens","1"
"gordijnzwammen6","Hoed, steel en/of lamellen met paarse tint","gordijnzwammen7","Paddenstoel zonder violette tinten","gordijnzwammen16","1"
"gordijnzwammen7","Forse paddenstoelen, slankheidsindex < 10","gordijnzwammen8","Tengere paddenstoelen, slankheidsindex > 15","gordijnzwammen12","1"
"gordijnzwammen8","Hoed viltig tot fijn schubbig. Gehele paddenstoel donker violet. Geur naar cederhout","Cortinarius violaceus","Hoed niet viltig tot schubbig, niet zo spectaculair violet. Geur anders","gordijnzwammen9","1"
"gordijnzwammen9","Velum op de steel herkenbaar als bleekgele bandjes. Hoed wat glimmerig","Cortinarius anomalus ss. lato","Velum op de steel wit, soms nauwelijks zichtbaar. Hoed niet glimmerig","gordijnzwammen10","1"
"gordijnzwammen10","Hoed oranje, spits, hygrofaan. Basisvilt paars","Cortinarius helveolus","Hoed bruin of paars, niet spits. Paars basisvilt afwezig","gordijnzwammen11","1"
"gordijnzwammen11","Hoed hygrofaan, bruin, zonder paars. Steel alleen paars aan de top. Steelvelum als witte sok op de onderste steelhelft. Bij populier en wilg","Cortinarius saturninus","Hoed niet hygrofaan, bleek paars (maar onder een witte, zijdeachtige deklaag). Steel over de gehele lengte bleek paars. Onder eik, berk en beuk","Cortinarius alboviolaceus","1"
"gordijnzwammen12","Hoed pluizig, aan de rand niet gestreept. Geur naar pelargonium","Cortinarius paleaceus ss. lato","Hoed vrijwel glad. Geur anders","gordijnzwammen13","1"
"gordijnzwammen13","Zeer kleine paddenstoelen. Hoed tot 1,5 cm, paars","Cortinarius bibulus ss. lato","Paddenstoel groter. Hoed niet paars","gordijnzwammen14","1"
"gordijnzwammen14","Lamellen wijd uiteen, donker bruinpaars. Steel met gele velumvlokjes. Bij els","Cortinarius helvelloides","Lamellen niet wijd uiteen, al dan niet paars. Steel zonder gele velumvlokjes. Bij loof- en soms naaldbomen, niet bij els","gordijnzwammen15","1"
"gordijnzwammen15","Hoed eenkleurig, oranjebruin, dof. Steel vaak met zwak ontwikkeld ringetje. Geur als van cederhout of zwarte peper","Cortinarius parvannulatus","Hoed tweekleurig, met glanzend donkerbruin centrum en bleke rand door velum. Steel zonder ring. Geur anders","Cortinarius decipiens-groep","1"
"gordijnzwammen16","Hoed niet hygrofaan, vaak helder gekleurd","gordijnzwammen17","Hoed hygrofaan","gordijnzwammen22","1"
"gordijnzwammen17","Hoed met rode schubjes. Vlees geel wordend aan de lucht","Cortinarius bolaris","Hoed zonder rode schubjes. Vlees aan de lucht niet geel wordend","gordijnzwammen18","1"
"gordijnzwammen18","Hoed spits conisch, tot 8 cm, warm oranjebruin. Steel meer dan 10 mm dik","Cortinarius rubellus","Kleinere paddenstoel, hoed tot 4 cm, niet spits conisch","gordijnzwammen19","1"
"gordijnzwammen19","Lamellen bloedrood. Steel geel. Bij naaldbomen","Cortinarius semisanguineus","Lamellen niet bloedrood, maar geel tot oranje","gordijnzwammen20","1"
"gordijnzwammen20","Hoed koperoranje. Bij wilg","Cortinarius uliginosus","Hoed geel tot bruin, niet zo helder gekleurd","gordijnzwammen21","1"
"gordijnzwammen21","Lamellen in jonge toestand geel","Cortinarius croceus-groep","Lamellen in jonge toestand oranje","Cortinarius cinnamomeus","1"
"gordijnzwammen22","Steel met opvallende goudgele velumgordels","Cortinarius saniosus","Steel zonder opvallende goudgele velumgordels","gordijnzwammen23","1"
"gordijnzwammen23","Steel zijdeachtig-wit, zonder waarneembare velumresten. Met jodoformgeur (ziekenhuislucht)","Cortinarius obtusus-groep","Steel niet zijdeachtig-wit. Zonder jodoformgeur","gordijnzwammen24","1"
"gordijnzwammen24","Forse paddenstoelen, slankheidsindex < 10","gordijnzwammen25","Tengere paddenstoelen, slankheidsindex > 15","gordijnzwammen27","1"
"gordijnzwammen25","Lamellen wijd uiteen. Geur muffig. Hoed bruinig, met zware vlekjes","Cortinarius conicus","Lamellen normaal gedrongen. Hoed zonder zwarte vlekjes","gordijnzwammen26","1"
"gordijnzwammen26","Hoed bruinoranje, met bleker en meer zeemleerkleurig centrum (daardoor tweekleurig lijkend), kaal, iets vettig","Cortinarius subbalaustinus","Hoed met dunne, wittige deklaag, daaronder vaal bruin. Bij wilg","Cortinarius urbicus","1"
"gordijnzwammen27","Hoed pluizig tot viltig","gordijnzwammen28","Hoed glad tot iets vezelig","gordijnzwammen30","1"
"gordijnzwammen28","In humusarme bossen op zand. Hoed kastanjebruin, vezelig tot iets schubbig. Zonder pelargoniumgeur","Cortinarius fusisporus","Op andere standplaatsen. Hoed (vuil)wit pluizig en/of met pelargoniumgeur","gordijnzwammen29","1"
"gordijnzwammen29","Geur naar pelargonium. Lamellen bruin","Cortinarius paleaceus ss. lato","Zonder geur. Lamellen met grijze tint. Bij berk","Cortinarius hemitrichus","1"
"gordijnzwammen30","Geur naar rauwe bieten","Cortinarius umbrinolens","Geur anders of onopvallend","gordijnzwammen31","1"
"gordijnzwammen31","Velum (en daardoor steel) bij bepotelen langzaam rood verkleurend","Cortinarius miraculosus","Velum en steel bij bepotelen niet rood verkleurend","gordijnzwammen32","1"
"gordijnzwammen32","Steelbasis roodachtig (kleur van rode wijn)","Cortinarius vernus","Steelbasis niet roodachtig","gordijnzwammen33","1"
"gordijnzwammen33","Geur naar cederhout of vers gemalen zwarte peper. Steel met vliezig ringetje","Cortinarius parvannulatus","Geur niet naar cederhout. Steel zonder ringetje","gordijnzwammen34","1"
"gordijnzwammen34","Hoed roodbruin tot oranjebruin, al-dan niet doorschijnend gestreept","gordijnzwammen35","Hoed donker bruin, zonder rossige tint, niet doorschijnend gestreept","gordijnzwammen36","1"
"gordijnzwammen35","Hoed (donker) roodbruin, nauwelijks doorschijnend gestreept; hoed- en steeloppervlak vrij sterk vezelig","Cortinarius helobius-groep","Hoed geelbruin tot oranjebruin, duidelijk doorschijnend gestreept; hoed- en steeloppervlak onopvallend vezelig","Cortinarius incisus-groep","1"
"gordijnzwammen36","Hoed glanzend, tweekleurig met donkerbruin tot zwart centrum en (door velum) wit-zijdeachtige rand","Cortinarius decipiens-groep","Hoed niet glanzend","gordijnzwammen37","1"
"gordijnzwammen37","Hoedoppervlak rimpelig (volwassen exemplaren). Lamellen met blekere tot wittige snede. Steel met onopvallend velum. Bij loof- en naaldbomen, niet bij els","Cortinarius casimiri","Hoedoppervlak niet rimpelig. Lamellen met gelijkgekleurde snede. Steel met opvallende velumgordels. Bij els","Cortinarius alnetorum","1"
"vezelkoppen1","Hoed en / of steel (vooral top) met paarse tinten","vezelkoppen2","Hoed en steel zonder paarse tinten","vezelkoppen5","1"
"vezelkoppen2","Hoed zijdeachtig","Inocybe lilacina","Hoed vezelspletig tot iets schubbig","vezelkoppen3","1"
"vezelkoppen3","Hoed vezelspletig","Inocybe pusio","Hoed wat schubbig","vezelkoppen4","1"
"vezelkoppen4","Hoed duidelijk geschubd. Lamellen met bruine snede. Geur spermatisch","Inocybe cincinnata","Hoed vezelig tot hoogstens fijn schubbig. Lamellen met witte snede. Geur naar pelargonium","Inocybe griseolilacina","1"
"vezelkoppen5","Hoed zeer bleek, vrijwel wit","vezelkoppen6","Hoed duidelijk gekleurd","vezelkoppen7","1"
"vezelkoppen6","Hoed zijdeachtig. Steel alleen aan de top bepoederd of niet bepoederd","Inocybe geophylla","Hoed vezelig. Steel aanvankelijk met gordijn, bij oude exemplaren over de gehele lengte bepoederd","Inocybe sindonia","1"
"vezelkoppen7","Vlees aan de lucht rood verkleurend. Geur onaangenaam, naar paardenurine","Inocybe haemacta","Vlees aan de lucht niet rood verkleurend","vezelkoppen8","1"
"vezelkoppen8","Steel over de gehele lengte berijpt-bepoederd (L!)","vezelkoppen9","Steel alleen aan de top (bovenste kwart) berijpt (L!) of in het geheel niet berijpt","vezelkoppen15","1"
"vezelkoppen9","Hoed klein, diameter minder dan 2.5 cm. Steel gelijkdik, zonder gerande knol. Hoed met wit-viltig velum overdekt","Inocybe petiginosa","Hoed groter","vezelkoppen10","1"
"vezelkoppen10","Steel met gerande knol","vezelkoppen11","Steel gelijk dik tot wat gezwollen, maar zonder gerande knol","vezelkoppen13","1"
"vezelkoppen11","Hoed bruin, vezelspletig. Steel rossig bruin","Inocybe asterospora","Hoed geelbruin tot geel. Steel wittig tot crème of licht vaalbruin","vezelkoppen12","1"
"vezelkoppen12","Hoed wat vettig tot slijmerig, fijn vezelspletig. Lamellen grijs met wat paarse inslag","Inocybe mixtilis","Hoed droog, vezelspletig. Lamellen zonder violette inslag","Inocybe xanthomelas","1"
"vezelkoppen13","Verse paddenstoel met geur als van bitterkoekjes (bittere amandelen)","Inocybe hirtella","Geur anders","vezelkoppen14","1"
"vezelkoppen14","Hoed bruin tot zwartbruin. Plompe soort","Inocybe splendens","Hoed bleek geelbruin. Slanke soort","Inocybe sindonia","1"
"vezelkoppen15","Steel met gerande knol","vezelkoppen16","Steel zonder gerande knol","vezelkoppen17","1"
"vezelkoppen16","Hoed geel. Steel wit. Geur naar honing","Inocybe cookei","Hoed en steel bruin. Geur spermatisch","Inocybe napipes","1"
"vezelkoppen17","Hoed met opstaande schubben","Inocybe lanuginosa ss. lato","Hoed wollig tot aanliggend schubbig (waarbij de schubjes later wat overeind komen te staan), vezelig of vezelspletig","vezelkoppen18","1"
"vezelkoppen18","Steel fijn tot grof vezelig","vezelkoppen19","Steel glad, aan de top bepoederd, iets harig of vlokkig","vezelkoppen2","1"
"vezelkoppen19","Lamellen met olijftint. Hoed wollig, geelbruin. Steel geelbruin","Inocybe dulcamara ss. lato","Lamellen zonder olijftint. Hoed donkerbruin. Steel zonder gele tinten","vezelkoppen20","1"
